,Baseline,MD
128,56.10868649,47.24425957
129,56.85752952,46.4263734
130,54.02899308,46.87677637
131,60.1581781,46.55481216
132,58.87323916,47.21655463
133,60.22025365,47.39862042
134,55.6672135,47.36169235
135,60.18226408,46.39798621
136,56.25549314,46.91916994
137,60.41649707,47.40090907
138,59.88452833,47.51528858
139,60.93179816,47.29159052
140,59.71705695,48.74992274
141,60.10633463,47.09983305
142,61.41829657,47.03885391
143,60.48044783,47.60235989
144,60.01316866,46.18182973
145,59.7260051,46.88738944
146,60.49094044,48.15966579
147,60.329518,47.49689337
148,59.70183319,45.67803579
149,59.02395409,45.50123023
150,59.87121895,47.27913524
151,59.5837308,47.60388694
152,58.79633215,48.23171879
153,59.87958966,46.36396881
154,58.83294948,47.51120139
155,59.84298236,47.04613954
156,59.05785137,46.50648955
157,58.94822995,47.63072102
158,59.59768476,47.28242407
159,59.41533083,46.73911554
160,59.32060287,46.66049717
161,59.8517931,47.43548606
162,59.95148206,46.24916002
163,58.89447935,44.91221089
164,59.81171544,45.59821378
165,60.16335896,47.61459449
166,59.27475783,45.66004918
167,60.11959512,47.78712312
168,60.23059361,46.56014209
169,59.75449992,47.64486451
170,58.12772381,47.88342268
171,59.74400516,46.58582187
172,59.77878036,45.01912564
173,59.00048889,45.5043692
174,60.07767805,47.95023049
175,59.97450546,45.56701931
176,60.17655196,45.72095385
177,60.49703771,47.45510864
178,60.32297558,46.63197924
179,60.09347903,46.98570112
180,60.03207083,46.26054198
181,60.289236,47.28188014
182,60.08545639,45.12362973
183,60.64234009,47.17851059
184,60.25869113,44.65083609
185,60.36724123,47.11145526
186,61.0242912,47.35850084
187,60.3466934,47.37775344
188,60.53818257,47.11565519
189,59.87392756,46.27922365
190,60.09490645,47.75852359
191,59.94534818,45.63569641
192,60.06950625,47.27792395
193,60.30914583,46.36814375
194,60.30809422,47.75290846
195,60.32168246,48.06619534
196,60.48982668,45.18586493
197,59.81492949,46.47638216
198,60.54417143,42.75270012
199,60.76393196,46.52535551
200,60.40467317,47.90194402
201,60.76053167,47.00023955
202,60.64774989,45.88713519
203,60.18112093,45.10229638
204,60.03729242,44.43932429
205,60.15938938,44.15070637
206,61.06596627,47.59405304
207,61.05642543,47.94674546
208,60.64835574,44.72905924
209,60.03697738,48.10341191
210,60.36177127,44.80743446
211,60.70449781,44.18182961
212,59.99291888,45.68241133
213,60.72468377,46.44300305
214,60.36255819,42.41535285
215,60.68413576,46.01158283
216,60.39582585,47.08327039
217,60.71432831,43.82676064
218,60.53449201,46.72919068
219,60.10990654,44.56212821
220,60.2741049,45.78192988
221,60.1495007,48.99637477
222,60.59330411,47.03780753
223,59.78799058,45.07519915
224,55.81604733,51.75269069
225,60.43583489,45.64184393
226,60.27013272,49.65945899
227,60.38950967,46.45042957
228,60.69762795,44.31096451
229,60.6471018,45.72415363
230,60.84143535,51.99296896
231,57.27146518,43.59771678
232,59.32275574,42.82767626
233,60.12372404,42.81893527
234,60.27522461,45.15472351
235,59.94395372,44.85944438
236,59.60525525,44.93816446
237,59.22376287,46.41762729
238,60.08933097,44.81896472
239,59.60030455,48.80934524
240,60.43854762,46.88957377
241,60.64816681,44.87503449
242,59.60811779,48.77091034
243,55.56805708,49.32749222
244,59.53558254,45.9375207
245,60.01516424,45.3040342
246,59.93139961,45.28186888
247,60.50645141,44.13538863
248,60.65003154,42.01430456
249,59.30751804,44.0411906
250,59.90720768,42.24458429
251,58.95230945,41.96404656
252,56.92303903,47.41896466
253,56.03943374,42.73870055
254,60.99125935,42.95451553
255,59.68443215,49.01410298
256,60.35968356,44.67291862
257,60.93801063,46.01905258
258,59.90972297,44.12551962
259,59.6236201,49.01480446
260,60.25539792,45.32810714
261,60.60949793,43.98204198
262,59.12883486,36.92183498
263,60.90318611,44.87999658
264,61.0826299,43.2812826
265,59.25684702,43.9031397
266,59.92129534,40.56659317
267,60.47875034,46.07653239
268,60.79277666,38.17609989
269,59.97250525,45.72864801
270,59.2044375,47.31996573
271,59.32603938,45.35828544
272,60.34807154,47.31717944
273,59.17911233,44.15972328
274,57.45950864,46.38747017
275,58.91549898,43.42781371
276,58.97110602,48.07869395
277,56.83202521,45.15107044
278,60.3458909,41.01532131
279,59.56094044,41.25015626
280,58.32175169,41.96428756
281,60.09839371,48.06235742
282,59.36725749,42.08546386
283,60.12039374,44.8442617
284,58.77403988,48.21688094
285,59.70773866,41.88893051
286,60.77025507,44.75782427
287,56.5000765,49.73837031
288,60.06053963,46.15103519
289,59.7282744,43.87448324
290,53.48444178,52.46578314
291,55.4565103,48.55914919
292,61.23975781,45.0597471
293,54.81030714,43.06359533
294,57.34509909,44.68410608
295,56.56474817,42.75628438
296,55.39083608,44.43841577
297,59.65908693,41.74859232
298,60.17223982,41.14184878
299,56.52496323,40.16394753
300,55.72288313,40.1260098
301,59.94641775,47.31542865
302,58.71161309,44.50266068
303,61.81070781,42.5156539
304,58.84494807,43.37199477
305,59.41342526,47.04613371
306,59.4009107,42.77411509
307,59.13124305,44.73725435
308,59.93380348,45.5998061
309,59.61386191,44.92359198
310,58.64041575,42.59929702
311,58.31089609,43.94637609
312,59.3380362,42.69323944
313,59.80164076,43.6465232
314,59.69822702,45.44647994
315,58.80358511,42.32264844
316,60.53656083,43.21193911
317,59.63744334,40.554368
318,60.99736801,45.64365706
319,59.70378536,47.31696461
320,60.69155823,39.72469565
321,60.167847,46.33629236
322,60.30048759,49.00963599
323,60.05206488,47.97971756
324,59.90195655,45.32749941
325,59.72927635,44.91673317
326,60.23090597,45.68547129
327,60.17433212,48.33368663
328,59.60129484,43.96918558
329,60.05605068,47.98913743
330,60.1961835,43.07932678
331,59.99700341,48.00712193
332,59.9414049,46.87717512
333,59.67219626,46.26444341
334,60.13183031,43.30565223
335,60.26667173,44.50437177
336,59.46878064,45.50569599
337,60.15396545,41.56901707
338,60.63794068,47.88578667
339,60.66393741,43.20788947
340,59.65772136,49.69943949
341,60.44602104,44.94271811
342,59.91247491,42.32801553
343,59.81836022,46.18851006
344,60.78319985,44.1273964
345,60.10852724,48.11229637
346,59.74988314,45.53525737
347,59.33405076,48.37997053
348,59.3594904,46.41177068
349,59.773138,43.39628478
350,57.95069631,44.3904227
351,59.12573209,44.55437355
352,59.68157804,42.00165702
353,59.46007078,47.98719489
354,59.48835902,43.25606268
355,59.06188715,47.60833928
356,59.7567667,47.36224108
357,59.50970681,43.54067716
358,59.99541829,48.43097742
359,59.79687034,47.06827433
360,59.07865297,53.59276205
361,59.02642631,39.60801331
362,59.72849617,44.54208821
363,59.51956876,
364,59.44229044,
365,59.56351617,
366,60.21227943,
367,59.2173929,
368,59.38006358,
369,59.38490079,
370,59.49789072,
371,59.56890456,
372,59.68045614,
373,59.91916734,
374,59.06420755,
375,60.15631991,
376,60.5028055,
377,59.47299218,
378,59.75324111,
379,60.05492658,
380,59.79009666,
381,59.01366611,
382,59.8574119,
383,59.97971988,
384,59.99856672,
385,59.55789103,
